생존	A	B	장	절	관
6	6	0	제6장 조세의 경제적 효과	제12절 개별조세이론	제3관 소비세 (부가가치세)
6	4	2	제7장 재정학의 기타주제	제15절 공공요금의 이론	제3관 램지 가격설정·이부요금제
6	3	3	제7장 재정학의 기타주제	제16절 공채론	제2관 공채의 경제적 효과
6	3	3	제7장 재정학의 기타주제	제17절 지방재정	제4관 지방재정조정제도
6	3	3	제1장 국제무역론	제2절 무역정책론	제3관 자유무역 vs 보호무역
6	6	0	제1장 거시경제학 기초와 국민소득결정	제3절 고전학파의 국민소득결정이론	제3관 화폐수량설
6	4	2	제4장 생산자이론	제11절 생산이론	제3관 장기생산함수 (등량곡선·기술적 한계대체율)
6	0	6	제5장 시장이론	제16절 과점시장	제4관 카르텔과 담합
6	4	2	제7장 일반균형이론과 후생경제학	제22절 후생경제학	제2관 사회후생함수
6	2	4	제2장 외부성, 공공재, 공공선택이론	제3절 외부성	제3관 피구세·피구보조금
6	3	3	제3장 공공지출이론	제7절 비용-편익분석	제3관 평가기준 (NPV·B/C·IRR)
7	5	2	제5장 조세의 초과부담 및 최적과세론	제11절 최적과세론	제3관 효율-공평 상충관계
7	6	1	제7장 재정학의 기타주제	제17절 지방재정	제3관 지방세와 지방교부세
7	7	0	제2장 국제금융론	제3절 환율, 환율결정이론, 환율제도	제4관 환율제도 (고정·변동·관리변동)
7	3	4	제1장 거시경제학 기초와 국민소득결정	제2절 국민소득의 측정과 경제구조	제2관 명목·실질 GDP, GDP 디플레이터
7	6	1	제1장 거시경제학 기초와 국민소득결정	제4절 케인즈의 국민소득결정이론	제2관 케인즈의 단순모형 (45도선)
7	4	3	제1장 거시경제학 기초와 국민소득결정	제4절 케인즈의 국민소득결정이론	제4관 절약의 역설
7	6	1	제4장 총수요·총공급이론	제9절 IS-LM모형	제2관 LM곡선의 도출과 이동
7	5	2	제5장 인플레이션과 실업	제14절 필립스곡선과 스태그플레이션	제4관 합리적 기대와 필립스곡선
7	5	2	제6장 거시경제학파와 안정화정책	제17절 안정화정책과 관련된 논쟁	제2관 최적정책의 동태적 비일관성
7	5	2	제3장 소비자이론	제9절 소비자이론의 응용	제2관 시점간 소비선택
7	5	2	제7장 일반균형이론과 후생경제학	제21절 일반균형이론과 경제적 효율성	제1관 일반균형의 개념
8	2	6	제7장 재정학의 기타주제	제17절 지방재정	제2관 티부의 가설
8	6	2	제2장 국제금융론	제3절 환율, 환율결정이론, 환율제도	제2관 구매력평가설 (PPP)
8	8	0	제1장 거시경제학 기초와 국민소득결정	제3절 고전학파의 국민소득결정이론	제2관 노동시장과 총생산함수
8	5	3	제1장 거시경제학 기초와 국민소득결정	제4절 케인즈의 국민소득결정이론	제3관 승수효과
8	6	2	제2장 소비함수론과 투자함수론	제5절 소비함수론	제4관 생애주기가설
8	5	3	제3장 화폐금융론	제7절 금융제도와 화폐공급	제4관 중앙은행의 통화정책 수단
8	5	3	제3장 소비자이론	제7절 무차별곡선이론	제2관 예산선과 소비자균형
9	7	2	제1장 거시경제학 기초와 국민소득결정	제2절 국민소득의 측정과 경제구조	제3관 국민소득 3면 등가의 원칙
